affected_part,initial_diagnosis,symptoms,damage_type,problem_image_url
"Whorl, Tassel and Cob",Scrapping of leaf surface by young larvae.,Caterpillars Feed gregariously in initial phase and make small leaf holes/papery windows. Often hide inside the whorls and drop down to make earthen cocoons inside the soil.,"Older larvae, feeds upon central whorl, causing extensive defoliation.",https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/2ef718d0-0c60-469b-9999-be60423390ff.jpg
"Leaves, Stem, Inflorescence","Aphids are small, soft-bodied insects, Female is yellowish green, gray green or olive green while male is olive green to brown in color. Nymphs look like the adult.","Stunted plant growth, Curling of leaves, Rolling of leaves, Chlorosis and yellowing of leaves, Shortening of the internodes of young shoots, Sooty molds grow on the honey dew excreted by aphids.","Aphids suck the sap from tender leaves, twigs, inflorescence and corn, Plants may wither and die.",https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/50e292f3-c878-49d2-a401-62881f42ae41.jpeg
"Leaves, Stem",Young plant having pinholes in straight lines across the newest leaves,The holes made by larvae are large and oblong vertically.,Central leaf of the plant dries up making dead heart. Such plant usually dies or gives rise to tillers.,https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/2af2b2d8-3034-443e-ae3c-7b2671819df2.jpg
"Leaves, Stem",Maggot feed on the tissues of growing point of seedling,Wilting and drying of the central leaf.,Causes dead heart and plant can be pulled out easily and produces bad smell.,https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/baa54b4d-a03d-4dbf-a997-1f330838c349.jpg
Leaves,"Chlorotic rings, spotting, and shrinking of leaves may be seen on young plants.","This disease is spread by Thrips insect. Chlorotic rings, spots turn brownish black and the leaves become brown and distorted.","Leaves get deformed, there is abnormal growth and flowers also become crooked and green.",https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/18216cc5-e379-4aae-ab98-3da6c19eafd9.jpeg
Leaves,Yellowing of leaves.,Nymphs and adults suck the sap from leaves. Honey dew - development of sooty mould fungus.,Dropping of affected leaves.,https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/14ef99b3-8532-4faf-bf05-fdc9eadf789c.jpeg
"Leaf, Fruits, Flower",Caterpillar eat the chlorophyll-rich part of the leaves due to which a veins is visible in the leaves.,"Caterpillar folds the leaves and scrapes the green matter. It can also feed on ovaries of flower, sometimes bore into young developing fruits.",The leaves get dried up.,https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/9c339eba-d13a-4cbd-9fb7-747b461375dc.jpeg
"Leaf, Vines, Fruits, Flower",Beetle damage results in numerous of holes on leaves.,"Grubs after hatching, feed on roots of plants below soil surface, bore into vines, feed on fruits that come in contact with the soil. Adult feeds on leaf and flowers.","Beetles injure the foliage, flowers and cotyledons by biting holes into them.",https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/814a63a3-08be-414e-8fac-a4feb796be6a.jpeg
Fruits,"Oozing of resinous fluid from fruits, Distorted and malformed fruits, Premature dropping of fruits and also unfit for consumption.","Maggots bore into the fruit and feed on pulp forming lesions and also maggots cause damage by feeding near ripe fruits, riddling them and polluting pulp.",At early stage attacked fruits do not develop. Infestation results in premature drop of fruits. Decay of fruits due to secondary bacterial infection.,https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/4db11737-da9d-4965-844a-909dbdb359ae.png
Fruits,"Oozing of resinous fluid from fruits, Distorted and malformed fruits, Premature dropping of fruits and also unfit for consumption.","Maggots bore into the fruit and feed on pulp forming lesions and also maggots cause damage by feeding near ripe fruits, riddling them and polluting pulp.",At early stage attacked fruits do not develop. Infestation results in premature drop of fruits. Decay of fruits due to secondary bacterial infection.,https://s3-ap-south-1.amazonaws.com/aeros-production/advisory/ba31362b-9b87-4613-bbdf-98fed57b3c2d.jpg
